,gene_pair,gene_1,gene_2,study_origin,cell_line_origin,GEMINI_SCORE_SL_score_SensitiveLethality,GEMINI_SCORE_SL_score_SensitiveRecovery,GEMINI_SCORE_SL_score_Strong,HORLBECK_SCORE_SL_score,HORLBECK_SCORE_standard_error,MAGECK_SCORE_SL_score,MAGECK_SCORE_Z_SL_score,MAGECK_SCORE_standard_error,MEDIAN_B_SCORE_SL_score,MEDIAN_B_SCORE_Z_SL_score,MEDIAN_B_SCORE_standard_error,MEDIAN_NB_SCORE_SL_score,MEDIAN_NB_SCORE_Z_SL_score,MEDIAN_NB_SCORE_standard_error,SGRA_DERIVED_B_SCORE_SL_score,SGRA_DERIVED_NB_SCORE_SL_score
0,AKT3|AR,AKT3,AR,36060092,22RV1,-0.0914241032188823,,-0.0914241032188823,-0.5894684778103767,0.2589652001476244,,,,-0.06256499679738692,-1.099934052284269,0.05688067995299913,-0.022646399574865583,-0.39813869302509136,0.056880679952999114,-2.490021979460098,-1.760638822785305
1,AKT3|AURKA,AKT3,AURKA,36060092,22RV1,-0.0467521148774541,,-0.0467521148774541,-0.014408170413057003,0.15611167866099254,,,,0.02055108919282178,0.20076090445179862,0.10236599226796153,0.060469686415343116,0.590720463658016,0.10236599226796153,0.34637294163598414,0.4960835029840213
2,AKT3|BMP6,AKT3,BMP6,36060092,22RV1,-0.0359220777465888,,-0.0359220777465888,-0.3049138884381916,0.16839934711828503,,,,-0.09495959334132609,-2.1476602260077193,0.044215370844691876,-0.05504099611880475,-1.2448385045132446,0.044215370844691876,-1.648457610025916,-0.954724879455312
3,AKT3|CCNE2,AKT3,CCNE2,36060092,22RV1,-0.0454267493009758,,-0.0454267493009758,-0.26251378502907685,0.12315339623238662,,,,-0.05243733264414452,-1.201617878724323,0.04363894177391378,-0.012518735421623184,-0.28687073775713223,0.04363894177391378,0.015596914730695077,0.6169334061285092
4,AKT3|CDC6,AKT3,CDC6,36060092,22RV1,0.0024420813639003,,0.0024420813639002,0.015163512349841804,0.18625869293612055,,,,0.0050392999108814784,0.046172688513481504,0.10914027476243025,0.04495789713340281,0.4119276521088513,0.10914027476243025,0.07922997442623686,0.253455304180943
5,AKT3|CDK2,AKT3,CDK2,36060092,22RV1,-0.0822806005904851,,-0.0822806005904851,-0.015866530696968473,0.12189183243193755,,,,0.006519758853866353,0.09985921839963331,0.06528950414747382,0.04643835607638769,0.7112683222634718,0.06528950414747382,1.3570987552246199,2.1688877583621156
6,AKT3|CTNNB1,AKT3,CTNNB1,36060092,22RV1,-0.126063397783509,,-0.126063397783509,-0.36889842840238674,0.15178067718762459,,,,-0.04328161561093502,-1.0841139719171828,0.03992349211623422,-0.0033630183884136855,-0.08423657876977576,0.03992349211623422,-2.2602861147818882,-1.49412618090897
7,AKT3|DHFR,AKT3,DHFR,36060092,22RV1,-0.0727292469990544,,-0.0727292469990544,-0.20703923191077314,0.12696294334306882,,,,0.06854435886697674,0.6877976482580238,0.09965773951187264,0.10846295608949807,1.0883545685538696,0.09965773951187264,-1.0105157040173052,0.2704713213294927
8,AKT3|ETF1,AKT3,ETF1,36060092,22RV1,,0.046195984071285,-0.132287056526764,0.1671498646913114,0.21876876788090996,,,,-0.20322573390382637,-0.950267398527485,0.213861629072765,-0.16330713668130503,-0.7636112068787284,0.213861629072765,-0.3660604676001132,-0.06908294065022874
9,AKT3|EZH2,AKT3,EZH2,36060092,22RV1,-0.0527889413039994,,-0.0527889413039994,0.016892451388411722,0.1993048550366442,,,,0.021071429176995338,0.35143823854347456,0.05995770199715676,0.06099002639951667,1.01721754450177,0.05995770199715676,-0.02413847379098319,0.4956382481396106
10,AKT3|GART,AKT3,GART,36060092,22RV1,-0.0504969639070358,,-0.0504969639070358,-0.25299988823645697,0.18222123708846544,,,,-0.03139460417830664,-0.46420746322344386,0.06763054596387437,0.008523993044214695,0.12603761987620038,0.06763054596387437,-0.6273136958553438,0.24408271434466178
11,AKT3|GRB2,AKT3,GRB2,36060092,22RV1,-0.0974588931724299,,-0.0974588931724299,0.28405719419963205,0.11777503351847368,,,,0.023410116638716616,0.4187687201781136,0.055902257047182664,0.06332871386123795,1.1328471730182057,0.055902257047182664,0.35410557474743043,1.310315043936972
12,AKT3|HDAC1,AKT3,HDAC1,36060092,22RV1,-0.102605223950997,,-0.102605223950997,-0.19515146389023103,0.2032850915182006,,,,-0.02141630635266978,-0.47325581066045114,0.04525312921733026,0.018502290869851556,0.40886213152229633,0.04525312921733026,-0.2728192863576877,0.3626607962254236
13,AKT3|HPRT1,AKT3,HPRT1,36060092,22RV1,-0.0742248716067622,,-0.0742248716067622,-0.15745817744345492,0.1320375490453398,,,,-0.030289775810523167,-0.4716628563664262,0.0642191247448826,0.009628821411998167,0.14993697672227235,0.0642191247448826,-0.2536474060933608,0.23653231239007494
14,AKT3|HSP90AA1,AKT3,HSP90AA1,36060092,22RV1,-0.0006417213641877,,-0.0006417213641877,-0.5681051337771879,0.19005830620039468,,,,-0.024203289797720462,-0.402542135352107,0.060126102765738154,0.015715307424800873,0.2613724605772383,0.060126102765738154,-2.1677223767611964,-1.5926953894833649
15,AKT3|HSP90B1,AKT3,HSP90B1,36060092,22RV1,-0.0666447378418568,,-0.0666447378418568,-0.15237238558868765,0.19050838153885338,,,,-0.03509542847548053,-0.553160835624962,0.06344525175183391,0.004823168747040807,0.0760209568701316,0.06344525175183391,-0.7424337744074402,-0.31713657288527525
16,AKT3|IGF1R,AKT3,IGF1R,36060092,22RV1,-0.0498028520357617,,-0.0498028520357617,-0.19878119580163114,0.13573369625059872,,,,-0.0005891301388145642,-0.010578677621040602,0.05569033861498964,0.03932946708370677,0.7062170577846124,0.05569033861498964,-0.21833773535903572,0.12641257782816906
17,AKT3|IGFBP5,AKT3,IGFBP5,36060092,22RV1,-0.0723921389553117,,-0.0723921389553117,0.053750561495973195,0.18481521148592847,,,,-0.07553704453049459,-1.548539481069787,0.04877954062773451,-0.035618447307973256,-0.7301923480542521,0.04877954062773451,-0.6226746870991002,-0.1924590306487488
18,AKT3|INSR,AKT3,INSR,36060092,22RV1,-0.0667681955720548,,-0.0667681955720548,-0.08261419701369788,0.11304128685585413,,,,-0.03113919571911783,-0.6341627534322339,0.049102845524410535,0.008779401503403506,0.1787961860385259,0.049102845524410535,-1.012802544797895,-0.486454414294465
19,AKT3|IRS1,AKT3,IRS1,36060092,22RV1,-0.126163797210436,,-0.126163797210436,-0.2657884121681851,0.08403901693884257,,,,0.00528631667328483,0.13480500494276337,0.03921454307671542,0.045204913895806165,1.1527589090448351,0.03921454307671542,-0.1021498274779975,0.3600089251320004
20,AKT3|JUN,AKT3,JUN,36060092,22RV1,-0.101692531377871,,-0.101692531377871,-0.11984352190498705,0.19349373124457947,,,,-0.0635490757013395,-1.4726594000446929,0.043152595705029204,-0.023630478478818162,-0.5476027129479063,0.043152595705029204,-0.9341100035861001,-0.4030129566099289
21,AKT3|LIMK1,AKT3,LIMK1,36060092,22RV1,-0.0838293210703717,,-0.0838293210703717,-0.19312043153562305,0.12682955832322654,,,,0.013636941559848736,0.2785237619088714,0.04896150140435964,0.05355553878237007,1.0938295854138445,0.04896150140435964,-0.3528824277940412,0.15095976458258317
22,AKT3|MAP2K1,AKT3,MAP2K1,36060092,22RV1,-0.0343160448298825,,-0.0343160448298825,-0.21270788467569782,0.22079431784026415,,,,-0.05480549584096872,-1.1526470413788152,0.04754750923180221,-0.014886898618447386,-0.313095235880206,0.04754750923180221,-0.9555732839494387,-0.6293066012890325
23,AKT3|MAP3K1,AKT3,MAP3K1,36060092,22RV1,-0.040063230615108,,-0.040063230615108,-0.4626443232979233,0.15865029295500988,,,,0.015045842387736208,0.2862137839187988,0.05256854572736035,0.05496443961025754,1.0455765676936009,0.05256854572736035,-0.7671850462095882,-0.00472413918552142
24,AKT3|MAPK1,AKT3,MAPK1,36060092,22RV1,-0.0508608136056352,,-0.0508608136056352,-0.2696690885596955,0.11948421681905844,,,,-0.03892091462054337,-1.1053622129406222,0.03521100519349318,0.0009976826019779672,0.02833439705840417,0.03521100519349318,-0.35826880571655484,0.24199753422669001
